Package,Item,Title,size
babynames,babynames,Baby names.,74915960
modeldata,grants_other,Grant acceptance data,51159088
nycflights13,flights,Flights data,40650104
rattle,weatherAUS,Daily weather observations from multiple Australian weather stations.,32537704
lexicon,hash_grady_pos,Grady Ward's Moby Parts of Speech,18254488
mlr3data,energy_usage,"Power Consumption of Kitchen Appliances in Ames, Iowa",17010248
Lahman,Fielding,Fielding table,13445984
mosaicData,Birthdays,US Births in 1969 - 1988,13428840
countrycode,codelist_panel,Country Code Translation Data Frame (Country-Year Panel),13334976
ggmap,crime,Crime data,12647552
Lahman,Batting,Batting table,11807904
countrycode,codelist,Country Code Translation Data Frame (Cross-Sectional),11543512
Lahman,Appearances,Appearances table,11345632
tune,ames_iter_search,Example Analysis of Ames Housing Data,11325864
survival,nafld2,Non-alcohol fatty liver disease,11204872
Lahman,People,People table,11080520
afex,stroop,"Stroop data from Lin et al. (2020, Psych. Science)",9911392
WDI,WDI_data,World Development Indicators series and country information,9042120
laeken,ses,Synthetic SES survey data,8637600
lexicon,grady_augmented,Augmented List of Grady Ward's English Words and Mark Kantrowitz's Names List,8410768
carData,MplsStops,Minneapolis Police Department 2017 Stop Data,8160432
AER,Fertility,Fertility and Women's Labor Supply,8156760
mlbench,Shuttle,Shuttle Dataset (Statlog version),8122776
dataPreparation,messy_adult,Adult with some ugly columns added,7658896
ggmap,hadley,Highly unofficial ggplot2 image,7569384
Lahman,Pitching,Pitching table,7470808
gains,MineThatData,MineThatData E-Mail Analytics Challenge Data With Predictions,7425496
latticeExtra,gvhd10,Flow cytometry data from five samples from a patient,6836168
dslabs,trump_tweets,Trump Tweets from2009 to 2017,6378344
arules,Adult,Adult Data Set,5794416
carData,Vocab,Vocabulary and Education,5478000
ggpubr,diff_express,Differential gene expression analysis results,5420240
AER,CPSSW8,Stock and Watson CPS Data Sets,5405168
padr,emergency,"Emergency Calls for Montgomery County, PA",5315392
sentimentr,hotel_reviews,Hotel Reviews,5078424
kernlab,ticdata,The Insurance Company Data,4998776
workflowsets,chi_features_res,Chicago Features Example Data,4897664
mosaicData,HELPfull,Health Evaluation and Linkage to Primary Care,4886480
ade4,hdpg,Genetic Variation In Human Populations,4884632
imputeTS,tsHeating,Time series of a heating systems supply temperature (with NAs),4855160
imputeTS,tsHeatingComplete,Time series of a heating systems supply temperature (complete),4855160
GGally,nasa,Data from the Data Expo JSM 2006.,4846216
lexicon,hash_lemmas,Lemmatization List,4795456
wooldridge,countymurders,countymurders,4783816
rlist,nyweather,New York hourly weather data,4594536
ISLR,Caravan,The Insurance Company (TIC) Benchmark,4366552
dslabs,movielens,Movie ratings,4344832
maps,world.cities,Database of world cities,4281608
plot3D,Oxsat,Yearly averaged oxygen saturation from the NODC World Ocean Atlas 2005.,4280984
ade4,pcw,Distribution of of tropical trees along the Panama canal,4234232
ISLR,NCI60,NCI 60 Data,3940416
lexicon,hash_sentiment_slangsd,SlangSD Sentiment Polarity Table,3801152
workflowsets,two_class_res,Two Class Example Data,3751776
ada,soldat,Solubility Data,3635728
RSNNS,snnsData,Example data of the package,3522416
tidyr,who,World Health Organization TB data,3522080
gamlss.data,mviBig,The motor vehicle insurance data,3497448
ggplot2,diamonds,"Prices of over 50,000 round cut diamonds",3456848
FactoMineR,poulet,Genomic data for chicken,3445600
fueleconomy,vehicles,Vehicle data,3441512
modeldata,grants_test,Grant acceptance data,3439248
tidyr,who2,World Health Organization TB data,3381480
questionr,rp2018,2018 French Census - French cities of more than 2000 inhabitants,3349216
carData,GSSvocab,Data from the General Social Survey (GSS) from the National Opinion Research Center of the University of Chicago.,3343472
ggmap,wind,Wind data from Hurricane Ike,3299440
TH.data,Westbc,Breast Cancer Gene Expression,3256200
modeldata,check_times,Execution time data,3168632
rebmix,adult,Adult Dataset,3139600
Lahman,FieldingOFsplit,FieldingOFsplit table,3130936
threejs,ego,Facebook social circles,3085032
wooldridge,labsup,labsup,3062264
lubridate,lakers,Lakers 2008-2009 basketball data set,2984232
arules,AdultUCI,Adult Data Set,2943744
modeldata,hotel_rates,Daily Hotel Rate Data,2943400
AER,Fertility2,Fertility and Women's Labor Supply,2884648
GGally,happy,"Data related to happiness from the General Social Survey, 1972-2006.",2863056
questionr,happy,"Data related to happiness from the General Social Survey, 1972-2006.",2863056
laeken,eusilc,Synthetic EU-SILC survey data,2853792
nycflights13,weather,Hourly weather data,2719280
AER,CPS1988,Determinants of Wages Data (CPS 1988),2706576
mlbench,LetterRecognition,Letter Image Recognition Data,2644696
ks,quakesf,Geographical locations of earthquakes and tectonic plates,2635728
mlbench,DNA,Primate splice-junction gene sequences (DNA),2625632
